id;finsat;objfinlit;subfinlit;optfinbeh;finatt;finlitindex;recfined;age18;age24;age44;age64;female;education;married;children;income_high;income_low;country
1;1;2;2;0;5;7;0;0;0;0;1;1;1;1;1;0;1;1
2;5;8;8;5;7;20;1;0;1;0;0;0;1;0;0;0;1;1
3;5;8;8;5;5;18;1;0;1;0;0;0;1;0;0;0;1;1
4;7;4;8;5;4;13;0;0;1;0;0;0;1;0;0;1;0;1
5;7;8;10;10;7;25;1;0;1;0;0;0;1;0;0;0;0;1
6;3;6;5;7,5;1;14,5;0;0;1;0;0;0;1;0;0;0;1;1
7;6;6;7;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;1
8;7;8;7;7,5;3;18,5;0;0;1;0;0;0;0;0;0;0;0;0
9;5;6;7;10;9;25;1;0;0;1;0;0;0;0;0;1;0;1
10;6;6;6;5;8;19;1;0;1;0;0;1;1;0;0;0;0;1
11;4;6;6;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;0
12;4;8;8;7,5;8;23,5;1;0;1;0;0;0;1;0;0;0;0;1
13;4;6;7;5;9;20;1;0;1;0;0;1;1;0;0;0;0;1
14;5;8;5;2,5;10;20,5;1;0;1;0;0;0;0;0;0;0;0;1
15;3;2;1;7,5;10;19,5;0;0;1;0;0;1;1;0;0;0;0;1
16;5;6;7;5;8;19;1;0;1;0;0;1;1;0;0;0;1;1
17;7;6;7;5;8;19;1;0;1;0;0;0;1;0;0;0;0;1
18;3;6;3;2,5;4;12,5;0;0;1;0;0;1;1;0;0;0;0;1
19;3;6;4;10;10;26;1;0;1;0;0;1;1;0;0;0;1;1
20;6;8;7;5;5;18;1;0;0;1;0;1;1;0;0;0;0;1
21;6;8;8;10;10;28;1;0;1;0;0;0;1;0;0;1;0;1
22;6;2;4;0;8;10;0;0;1;0;0;1;1;0;0;0;0;1
23;7;8;8;7,5;8;23,5;1;0;1;0;0;0;1;1;0;1;0;1
24;9;6;8;5;8;19;1;0;1;0;0;1;1;0;0;0;0;1
25;6;6;4;5;3;14;0;0;1;0;0;0;0;0;0;0;1;0
26;8;8;10;10;10;28;1;0;1;0;0;0;1;0;0;0;0;1
27;3;8;7;2,5;3;13,5;1;0;1;0;0;0;1;0;0;1;0;1
28;5;6;7;7,5;10;23,5;1;0;1;0;0;0;1;0;0;0;0;1
29;5;8;8;7,5;10;25,5;1;0;1;0;0;0;1;0;0;0;0;1
30;6;10;9;10;9;29;1;0;0;1;0;1;1;0;0;0;0;1
31;5;8;7;7,5;8;23,5;1;0;1;0;0;1;1;0;0;0;0;1
32;7;8;8;10;6;24;1;0;1;0;0;0;1;1;0;1;0;1
33;3;10;5;7,5;2;19,5;1;0;1;0;0;0;1;0;0;0;1;1
34;5;6;7;7,5;8;21,5;1;0;1;0;0;0;1;0;0;0;1;1
35;4;4;7;7,5;9;20,5;1;0;1;0;0;1;1;0;0;0;1;1
36;8;6;8;5;9;20;1;0;1;0;0;0;1;0;0;0;0;1
37;8;8;10;10;10;28;1;0;1;0;0;0;1;1;0;1;0;1
38;4;4;7;7,5;10;21,5;1;0;1;0;0;1;1;0;0;0;0;1
39;3;8;8;5;9;22;1;1;0;0;0;0;1;0;0;0;1;1
40;7;6;8;5;9;20;0;0;1;0;0;1;1;1;0;1;0;1
41;5;8;10;2,5;4;14,5;1;0;1;0;0;1;1;0;0;0;1;1
42;9;8;8;5;7;20;1;0;1;0;0;0;1;0;0;1;0;1
43;4;6;8;10;8;24;1;0;1;0;0;1;1;0;0;0;0;1
44;8;8;4;5;9;22;1;0;1;0;0;1;1;0;0;1;0;1
45;9;6;7;10;8;24;1;0;1;0;0;1;1;0;0;0;0;1
46;8;6;6;10;10;26;0;0;1;0;0;1;1;0;0;0;0;1
47;5;6;5;5;7;18;1;0;1;0;0;1;1;0;0;1;0;1
48;6;6;7;5;5;16;1;0;1;0;0;1;1;0;0;0;0;1
49;7;8;7;10;8;26;0;0;1;0;0;1;1;0;0;0;0;1
